
Device #1:
----------

Device type:        BlueField3          
Name:               900-9D3B6-00CV-A_Ax 
Description:        NVIDIA BlueField-3 B3220 P-Series FHHL DPU; 200GbE (default mode) / NDR200 IB; Dual-port QSFP112; PCIe Gen5.0 x16 with x16 PCIe extension option; 16 Arm cores; 32GB on-board DDR; integrated BMC; Crypto Enabled
Device:             0000:94:00.0        

Configurations:                                          Default             Current         Next Boot
        P2P_ORDERING_MODE                           DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PARTIAL_RESET_EN                            False(0)             False(0)             False(0)            
        PCC_HANDLE_CORE_UTIL                        DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PCC_INT_EN                                  False(0)             False(0)             False(0)            
        PCC_INT_NP_RTT_DATA_MODE                    RTT_V0(64)           RTT_V0(64)           RTT_V0(64)          
        PCC_INT_NP_RTT_DSCP_EN                      False(0)             False(0)             False(0)            
        PCC_INT_NP_RTT_DSCP                         26                   26                   26                  
        PCC_INT_SYSTEM_RTT                          0                    0                    0                   
        PCC_NP_HANDLE_CORE_UTIL                     DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PCIE_CONGESTION_MONITOR                     DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PCIE_CREDIT_TOKEN_TIMEOUT                   0                    0                    0                   
        PCIE_IN_BAND_VDM_DISABLE                    False(0)             False(0)             False(0)            
        PCIE_SMBUS_DISABLE                          False(0)             False(0)             False(0)            
        PCI_ATOMIC_MODE                             PCI_ATOMIC_DISABLED_EXT_ATOMIC_ENABLED(0) PCI_ATOMIC_DISABLED_EXT_ATOMIC_ENABLED(0) PCI_ATOMIC_DISABLED_EXT_ATOMIC_ENABLED(0)
        PCI_BUS00_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS00_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS00_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS00_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS00_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS01_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS01_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS01_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS01_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS01_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS02_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS02_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS02_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS02_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS02_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS03_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS03_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS03_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS03_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS03_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS04_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS04_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS04_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS04_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS04_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS05_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS05_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS05_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS05_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS05_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS06_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS06_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS06_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS06_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS06_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS07_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS07_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS07_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS07_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS07_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS10_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS10_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS10_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS10_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS10_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS11_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS11_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS11_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS11_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS11_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS12_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS12_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS12_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS12_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS12_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS13_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS13_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS13_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS13_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS13_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS14_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS14_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS14_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS14_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS14_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS15_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS15_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS15_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS15_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS15_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS16_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS16_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS16_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS16_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS16_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS17_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS17_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS17_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS17_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS17_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS20_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS20_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS20_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS20_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS20_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS21_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS21_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS21_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS21_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS21_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS22_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS22_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS22_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS22_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS22_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS23_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS23_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS23_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS23_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS23_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS24_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS24_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS24_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS24_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS24_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS25_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS25_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS25_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS25_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS25_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS26_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS26_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS26_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS26_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS26_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_BUS27_ASPM                              False(0)             False(0)             False(0)            
        PCI_BUS27_HIERARCHY_TYPE                    PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)     PCIE_ENDPOINT(0)    
        PCI_BUS27_SPEED                             PCI_GEN_1(0)         PCI_GEN_1(0)         PCI_GEN_1(0)        
        PCI_BUS27_SWITCH_INDEX                      0                    0                    0                   
        PCI_BUS27_WIDTH                             PCI_INACTIVE(0)      PCI_INACTIVE(0)      PCI_INACTIVE(0)     
        PCI_DOWNSTREAM_PORT_OWNER                   Array[0..15]         Array[0..15]         Array[0..15]        
        PCI_SWITCH0_UPSTREAM_PORT_BUS               0                    0                    0                   
        PCI_SWITCH0_UPSTREAM_PORT_PEX               0                    0                    0                   
        PCI_SWITCH1_UPSTREAM_PORT_BUS               0                    0                    0                   
        PCI_SWITCH1_UPSTREAM_PORT_PEX               0                    0                    0                   
        PCI_SWITCH2_UPSTREAM_PORT_BUS               0                    0                    0                   
        PCI_SWITCH2_UPSTREAM_PORT_PEX               0                    0                    0                   
        PCI_SWITCH_EMULATION_ENABLE                 False(0)             False(0)             False(0)            
        PCI_SWITCH_EMULATION_NUM_PORT               16                   16                   16                  
        PCI_WR_ORDERING                             per_mkey(0)          per_mkey(0)          per_mkey(0)         
        PCORE0_REVERSAL                             False(0)             False(0)             False(0)            
        PCORE1_REVERSAL                             False(0)             False(0)             False(0)            
        PCORE2_REVERSAL                             False(0)             False(0)             False(0)            
*       PER_PF_NUM_SF                               False(0)             True(1)              True(1)             
*       PF_BAR2_ENABLE                              True(1)              False(0)             False(0)            
        PF_BAR2_SIZE                                3                    3                    3                   
        PF_DEVICE_ID_ENABLE                         False(0)             False(0)             False(0)            
        PF_DEVICE_ID                                41692                41692                41692               
        PF_LOG_BAR_SIZE                             5                    5                    5                   
        PF_NUM_OF_VF_VALID                          False(0)             False(0)             False(0)            
        PF_NUM_PF_MSIX                              63                   63                   63                  
        PF_NUM_PF_MSIX_VALID                        False(0)             False(0)             False(0)            
        PF_SD_GROUP                                 0                    0                    0                   
        PF_SF_BAR_SIZE                              0                    0                    0                   
        PF_TOTAL_SF                                 0                    0                    0                   
        PHY_AUTO_NEG_P1                             DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_AUTO_NEG_P2                             DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_ETH_RECOVERY_P1                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_ETH_RECOVERY_P2                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_FEC_OVERRIDE_P1                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_FEC_OVERRIDE_P2                         DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        PHY_RATE_MASK_OVERRIDE_P1                   False(0)             False(0)             False(0)            
        PHY_RATE_MASK_OVERRIDE_P2                   False(0)             False(0)             False(0)            
        PLDM_FW_UPDATE_DISABLE                      False(0)             False(0)             False(0)            
        PORT_OWNER                                  True(1)              True(1)              True(1)             
        PRIO_TAG_REQUIRED_EN                        False(0)             False(0)             False(0)            
        PROG_PARSE_GRAPH                            False(0)             False(0)             False(0)            
        QOS_TRUST_STATE_P1                          TRUST_PCP(1)         TRUST_PCP(1)         TRUST_PCP(1)        
        QOS_TRUST_STATE_P2                          TRUST_PCP(1)         TRUST_PCP(1)         TRUST_PCP(1)        
        RATE_REDUCE_MONITOR_PERIOD_P1               4                    4                    4                   
        RATE_REDUCE_MONITOR_PERIOD_P2               4                    4                    4                   
        RATE_TO_SET_ON_FIRST_CNP_P1                 0                    0                    0                   
        RATE_TO_SET_ON_FIRST_CNP_P2                 0                    0                    0                   
        RBT_DISABLE                                 False(0)             False(0)             False(0)            
        RDE_DISABLE                                 False(0)             False(0)             False(0)            
        RDMA_SELECTIVE_REPEAT_EN                    False(0)             False(0)             False(0)            
*       REAL_TIME_CLOCK_ENABLE                      False(0)             True(1)              True(1)             
        RENEG_ON_CHANGE                             True(1)              True(1)              True(1)             
        RESET_WITH_HOST_ON_ERRORS                   False(0)             False(0)             False(0)            
        ROCE_ADAPTIVE_ROUTING_EN                    False(0)             False(0)             False(0)            
        ROCE_CC_CNP_MODERATION_P1                   DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_CNP_MODERATION_P2                   DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_DCQCN_COMPATIBILITY_MODE            DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_IFA2_TA                             DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_LEGACY_DCQCN_SW                     False(0)             False(0)             False(0)            
        ROCE_CC_PRIO_MASK_P1                        255                  255                  255                 
        ROCE_CC_PRIO_MASK_P2                        255                  255                  255                 
        ROCE_CC_SHAPER_COALESCE_P1                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_SHAPER_COALESCE_P2                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_CC_STEERING_EXT                        DISABLED(1)          DISABLED(1)          DISABLED(1)         
        ROCE_CONTROL                                ROCE_ENABLE(2)       ROCE_ENABLE(2)       ROCE_ENABLE(2)      
        ROCE_NEXT_PROTOCOL                          254                  254                  254                 
        ROCE_RTT_RESP_DSCP_MODE_P1                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_RTT_RESP_DSCP_MODE_P2                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        ROCE_RTT_RESP_DSCP_P1                       0                    0                    0                   
        ROCE_RTT_RESP_DSCP_P2                       0                    0                    0                   
        RPG_AI_RATE_P1                              5                    5                    5                   
        RPG_AI_RATE_P2                              5                    5                    5                   
        RPG_BYTE_RESET_P1                           32767                32767                32767               
        RPG_BYTE_RESET_P2                           32767                32767                32767               
        RPG_GD_P1                                   11                   11                   11                  
        RPG_GD_P2                                   11                   11                   11                  
        RPG_HAI_RATE_P1                             50                   50                   50                  
        RPG_HAI_RATE_P2                             50                   50                   50                  
        RPG_MAX_RATE_P1                             0                    0                    0                   
        RPG_MAX_RATE_P2                             0                    0                    0                   
        RPG_MIN_DEC_FAC_P1                          50                   50                   50                  
        RPG_MIN_DEC_FAC_P2                          50                   50                   50                  
        RPG_MIN_RATE_P1                             1                    1                    1                   
        RPG_MIN_RATE_P2                             1                    1                    1                   
        RPG_THRESHOLD_P1                            1                    1                    1                   
        RPG_THRESHOLD_P2                            1                    1                    1                   
        RPG_TIME_RESET_P1                           300                  300                  300                 
        RPG_TIME_RESET_P2                           300                  300                  300                 
        RT_PPS_ENABLED_ON_POWERUP                   False(0)             False(0)             False(0)            
        SAFE_MODE_ENABLE                            True(1)              True(1)              True(1)             
        SAFE_MODE_THRESHOLD                         10                   10                   10                  
        SILENT_MODE                                 False(0)             False(0)             False(0)            
        SM_DISABLE                                  False(0)             False(0)             False(0)            
        SRIOV_EN                                    True(1)              True(1)              True(1)             
        SRIOV_IB_ROUTING_MODE_P1                    LID(1)               LID(1)               LID(1)              
        SRIOV_IB_ROUTING_MODE_P2                    LID(1)               LID(1)               LID(1)              
        STEERING_CACHE_REFRESH                      0                    0                    0                   
        STRAP_SD_OR_MH                              False(0)             False(0)             False(0)            
        STRICT_VF_MSIX_NUM                          False(0)             False(0)             False(0)            
        SWITCH_COMPT_FEATURE_MASK                   0x0(0)               0x0(0)               0x0(0)              
        SWP_L4_CHECKSUM_MODE                        DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        TRACER_ENABLE                               True(1)              True(1)              True(1)             
        TUNNEL_ECN_COPY_DISABLE                     False(0)             False(0)             False(0)            
        TUNNEL_IP_PROTO_ENTROPY_DISABLE             False(0)             False(0)             False(0)            
        TX_PCI_DATA_FETCH_LATENCY                   40                   40                   40                  
        TX_SCHEDULER_BURST                          0                    0                    0                   
        TX_SCHEDULER_FWS_REACTIVITY                 DIRECT(1)            DIRECT(1)            DIRECT(1)           
        TX_SCHEDULER_LOCALITY_FACTOR                0                    0                    0                   
        TX_SCHEDULER_LOCALITY_MODE                  DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        UCTX_EN                                     True(1)              True(1)              True(1)             
        UEFI_HII_EN                                 True(1)              True(1)              True(1)             
        UEFI_LOGS                                   DISABLED(0)          DISABLED(0)          DISABLED(0)         
        UNKNOWN_UPLINK_MAC_FLOOD_P1                 False(0)             False(0)             False(0)            
        UNKNOWN_UPLINK_MAC_FLOOD_P2                 False(0)             False(0)             False(0)            
        UPSTREAM_PORT0_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT0_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT0_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT0_TX_AMP                       0                    0                    0                   
        UPSTREAM_PORT1_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT1_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT1_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT1_TX_AMP                       0                    0                    0                   
        UPSTREAM_PORT2_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT2_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT2_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT2_TX_AMP                       0                    0                    0                   
        UPSTREAM_PORT3_GEN3_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN3_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_GEN4_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN4_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_GEN5_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN5_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_GEN6_PRESET0                 0                    0                    0                   
        UPSTREAM_PORT3_GEN6_PRESET1                 0                    0                    0                   
        UPSTREAM_PORT3_PCIE_BUS                     0                    0                    0                   
        UPSTREAM_PORT3_TX_AMP                       0                    0                    0                   
        UPT_EMULATION_ENABLE                        False(0)             False(0)             False(0)            
        USER_PROGRAMMABLE_CC                        False(0)             False(0)             False(0)            
        VF_LOG_BAR_SIZE                             1                    1                    1                   
        VF_MIGRATION_MODE                           DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)    DEVICE_DEFAULT(0)   
        VF_NODNIC_ENABLE                            False(0)             False(0)             False(0)            
        VF_VPD_ENABLE                               False(0)             False(0)             False(0)            
        VIRTIO_BLK_EMULATION_ENABLE                 False(0)             False(0)             False(0)            
*       VIRTIO_BLK_EMULATION_NUM_MSIX               2                    0                    2                   
        VIRTIO_BLK_EMULATION_NUM_PF                 0                    0                    0                   
        VIRTIO_BLK_EMULATION_NUM_VF_MSIX            0                    0                    0                   
        VIRTIO_BLK_EMULATION_NUM_VF                 0                    0                    0                   
        VIRTIO_BLK_EMULATION_SUBSYSTEM_ID           4162                 4162                 4162                
        VIRTIO_BLK_EMU_SUBS_VENDOR_ID               6900                 6900                 6900                
        VIRTIO_FS_EMULATION_ENABLE                  False(0)             False(0)             False(0)            
*       VIRTIO_FS_EMULATION_NUM_MSIX                2                    0                    2                   
        VIRTIO_FS_EMULATION_NUM_PF                  0                    0                    0                   
        VIRTIO_FS_EMULATION_NUM_VF_MSIX             0                    0                    0                   
        VIRTIO_FS_EMULATION_NUM_VF                  0                    0                    0                   
        VIRTIO_FS_EMULATION_SUBSYSTEM_ID            4186                 4186                 4186                
        VIRTIO_FS_EMU_SUBSYSTEM_VENDOR_ID           6900                 6900                 6900                
        VIRTIO_NET_EMULATION_ENABLE                 False(0)             False(0)             False(0)            
*       VIRTIO_NET_EMULATION_NUM_MSIX               2                    0                    2                   
        VIRTIO_NET_EMULATION_NUM_PF                 0                    0                    0                   
        VIRTIO_NET_EMULATION_NUM_VF_MSIX            0                    0                    0                   
        VIRTIO_NET_EMULATION_NUM_VF                 0                    0                    0                   
        VIRTIO_NET_EMULATION_SUBSYSTEM_ID           4161                 4161                 4161                
        VIRTIO_NET_EMU_SUBSYSTEM_VENDOR_ID          6900                 6900                 6900                
        VL15_BUFFER_SIZE_P1                         0                    0                    0                   
        VL15_BUFFER_SIZE_P2                         0                    0                    0                   
        VL_BUFFER_ALLOCATION_P1                     FULL_DYNAMIC(1)      FULL_DYNAMIC(1)      FULL_DYNAMIC(1)     
